,0
2012-05-21 12:00:00,10134.996624999885
2012-05-21 15:00:00,12405.17911301878
2012-06-19 14:00:00,12095.05738843029
2012-11-14 15:00:00,12554.658078886045
2012-11-14 20:00:00,13044.277503170975
2012-11-14 21:00:00,13611.68938890708
2012-11-14 23:00:00,14319.479541933995
2012-11-16 08:00:00,16266.880073406457
2013-01-22 12:00:00,16730.474565346456
2013-02-07 05:00:00,16956.33032544346
2013-02-07 09:00:00,16532.432665013876
2013-02-11 10:00:00,16119.13218115899
2013-04-04 06:00:00,15716.163951087672
2013-04-11 08:00:00,15323.269674912994
2013-04-11 09:00:00,14940.197510083757
2013-05-16 13:00:00,14566.701909955149
2013-05-21 10:00:00,14202.543466395004
